,label,p,r,f1,micro,macro
0,ship,0.9292035398230089,0.9051724137931034,0.9170305676855894,0.8247162673392182,0.7829442217347822
1,giá,0.9145299145299145,0.8916666666666667,0.9029535864978904,0.8504551365409623,0.821968844347188
2,chính hãng,0.5277777777777778,0.7916666666666666,0.6333333333333333,0.8373879641485276,0.7954184280184662
3,chất lượng,0.7654320987654321,0.8671328671328671,0.8131147540983608,,
4,dịch vụ,0.7777777777777778,0.6542056074766355,0.7106598984771574,,
5,an toàn,0.7205882352941176,0.8305084745762712,0.7716535433070865,,
