,label,p,r,f1,micro,macro
0,ship,0.8979591836734694,0.9482758620689655,0.9224318658280923,0.8577127659574468,0.8399302658916674
1,giá,0.9152542372881356,0.9,0.9075630252100839,0.8387516254876463,0.7882890307672777
2,chính hãng,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.8481262327416175,0.8108540431065461
3,chất lượng,0.8308823529411765,0.7902097902097902,0.8100358422939069,,
4,dịch vụ,0.7777777777777778,0.719626168224299,0.7475728155339805,,
5,an toàn,0.8490566037735849,0.7627118644067796,0.8035714285714285,,
