,label,p,r,f1,micro,macro
0,ship,0.9069555759357891,0.9362068965517242,0.921084063629762,0.8241765471568302,0.8033538103329052
1,giá,0.8891686207527354,0.9212500000000002,0.9043689286214812,0.8635240572171652,0.8204990694395302
2,chính hãng,0.6775418772815403,0.7083333333333334,0.6873522545323073,0.8431802237502382,0.8088764908247168
3,chất lượng,0.7647276074798139,0.8652097902097904,0.8113692926165129,,
4,dịch vụ,0.7783753702146472,0.6714953271028037,0.7202079147235203,,
5,an toàn,0.8096224713609699,0.8008474576271187,0.8039528633405906,,
