,label,p,r,f1,micro,macro
0,ship,0.912952338103848,0.9370689655172415,0.9246093784466751,0.8235546721498428,0.8023238609605832
1,giá,0.8854955728306553,0.9154166666666669,0.8998204064031026,0.8633289986996099,0.8209194299899265
2,chính hãng,0.6792112778284312,0.7083333333333333,0.6832091524854168,0.8428132664896036,0.8077112286094597
3,chất lượng,0.7650282329451121,0.8629370629370628,0.8105235749234551,,
4,dịch vụ,0.768931883094869,0.6808411214953272,0.7203936307886487,,
5,an toàn,0.7957110653755719,0.8033898305084746,0.7977488181871873,,
