,label,p,r,f1,micro,macro
0,ship,0.9079932055261354,0.9362068965517241,0.9214340385869052,0.8256361125895234,0.7989796542460985
1,giá,0.8896409635959686,0.9175000000000001,0.9028530663617247,0.8572171651495447,0.8204584185016829
2,chính hãng,0.669201551687732,0.7270833333333334,0.6927428362436963,0.8407691782874773,0.8071387292225781
3,chất lượng,0.7757603877925432,0.8472027972027973,0.8089633509764816,,
4,dịch vụ,0.7523021626281141,0.6742990654205607,0.7097003539440819,,
5,an toàn,0.7870224087042593,0.8084745762711864,0.7960032408608099,,
