,label,p,r,f1,micro,macro
0,ship,0.9092560065074,0.9390086206896553,0.9237663554585696,0.8223993060909223,0.7986370555121061
1,giá,0.8821429604782132,0.9133333333333334,0.8967166982523851,0.8618335500650195,0.8203343309392295
2,chính hãng,0.669035929330976,0.71875,0.6883859648534542,0.8414385238587254,0.8062783207326729
3,chất lượng,0.7658797970457265,0.861888111888112,0.8107790476861231,,
4,dịch vụ,0.7668705841982147,0.6686915887850466,0.7117435374128325,,
5,an toàn,0.7895212471976388,0.8194915254237289,0.8021706454839436,,
