,label,p,r,f1,micro,macro
0,ship,0.9088604995068001,0.9439655172413793,0.9255667320857117,0.8240226655450655,0.8009017737164236
1,giá,0.8867911143447081,0.92125,0.9031696668105902,0.8611183355006503,0.8150409031563559
2,chính hãng,0.6751431700622106,0.6916666666666667,0.678825638684933,0.8417358517891522,0.8045241065564614
3,chất lượng,0.7681645929875293,0.858041958041958,0.8092181117933739,,
4,dịch vụ,0.7655494916808706,0.6602803738317758,0.7058403834076992,,
5,an toàn,0.7969060492712587,0.7872881355932203,0.7890484033020908,,
