,label,p,r,f1,micro,macro
0,ship,0.911889269383327,0.9357758620689655,0.9232314200167068,0.8217943948645912,0.798643525386498
1,giá,0.8946074272042264,0.9058333333333335,0.8995146204412592,0.8629388816644994,0.8135610935954155
2,chính hãng,0.6602197575695349,0.6791666666666668,0.6629980474826173,0.8415745552972005,0.8024925027826807
3,chất lượng,0.7610706939734232,0.8713286713286713,0.8119980492400719,,
4,dịch vụ,0.7654304788019782,0.6757009345794391,0.7147203767327486,,
5,an toàn,0.7996536914528881,0.7720338983050848,0.7837745357232457,,
