,label,p,r,f1,micro,macro
0,ship,0.9208999973471572,0.9383620689655171,0.9293536905922581,0.8250694961829537,0.8004783145954194
1,giá,0.8905775615259041,0.91625,0.9028250926642384,0.8687256176853058,0.8234099146100435
2,chính hãng,0.6583289202801135,0.70625,0.6757803300409988,0.8460389724494052,0.8085023418541011
3,chất lượng,0.7645901784011135,0.876748251748252,0.8159088766376954,,
4,dịch vụ,0.7679949154228082,0.6794392523364485,0.7186437193353146,,
5,an toàn,0.7866653642165906,0.8008474576271187,0.7917384262483858,,
