,label,p,r,f1,micro,macro
0,ship,0.9132860760779336,0.9334051724137928,0.9228324928348997,0.8251983978516083,0.8004323219494784
1,giá,0.893510168860967,0.9062500000000002,0.8990969139393952,0.8630039011703513,0.8190344754343304
2,chính hãng,0.6640625492920956,0.69375,0.671007018160019,0.8433153433122074,0.8062330135673861
3,chất lượng,0.771426433391038,0.8636363636363636,0.8143405680947348,,
4,dịch vụ,0.7598763821253579,0.6981308411214954,0.7238880748078824,,
5,an toàn,0.7961474694066316,0.7983050847457628,0.7963438321854663,,
