,label,p,r,f1,micro,macro
0,ship,0.9091427415113309,0.9385775862068966,0.9233004420533089,0.8209633444459327,0.7959840154260094
1,giá,0.8938257594030723,0.9200000000000002,0.9065793462246792,0.8656697009102732,0.8216745885439085
2,chính hãng,0.6611626049720368,0.69375,0.6726941262231005,0.8423477087948905,0.8061759421157243
3,chất lượng,0.7653360091976775,0.8625874125874124,0.8097043535866831,,
4,dịch vụ,0.7504529620459299,0.6934579439252337,0.7186014424908502,,
5,an toàn,0.7728616767762013,0.8067796610169491,0.7872897970656402,,
