,label,p,r,f1,micro,macro
0,ship,0.913630694157957,0.9398706896551724,0.9263163074806992,0.8233512163972913,0.7952509175699619
1,giá,0.8952171812298622,0.9104166666666667,0.9022861688855797,0.8617035110533161,0.8215376849758901
2,chính hãng,0.6449728713944619,0.71875,0.6737640588451633,0.841634284203334,0.8048076346080544
3,chất lượng,0.7683874338880717,0.8573426573426574,0.8093258331514255,,
4,dịch vụ,0.7540464071794567,0.681308411214953,0.7123458046774046,,
5,an toàn,0.8030449152032201,0.776271186440678,0.7870425856856008,,
