,label,p,r,f1,micro,macro
0,ship,0.9319148936170213,0.9439655172413793,0.9379014989293362,0.8250303766707169,0.7750319043857046
1,giá,0.9181818181818182,0.8416666666666667,0.8782608695652174,0.88296488946684,0.8426862041170775
2,chính hãng,0.4864864864864865,0.75,0.5901639344262296,0.8530150753768845,0.8019592555499961
3,chất lượng,0.7771084337349398,0.9020979020979021,0.8349514563106796,,
4,dịch vụ,0.7614678899082569,0.7757009345794392,0.7685185185185185,,
5,an toàn,0.8214285714285714,0.7796610169491526,0.8,,
