,label,p,r,f1,micro,macro
0,ship,0.9273504273504274,0.9353448275862069,0.9313304721030042,0.8263546798029556,0.7825062034739453
1,giá,0.9032258064516129,0.9333333333333333,0.9180327868852459,0.8725617685305592,0.8433427384732572
2,chính hãng,0.5277777777777778,0.7916666666666666,0.6333333333333333,0.8488298545224542,0.8062054395772463
3,chất lượng,0.7692307692307693,0.8741258741258742,0.8183306055646482,,
4,dịch vụ,0.7849462365591398,0.6822429906542056,0.73,,
5,an toàn,0.7619047619047619,0.8135593220338984,0.7868852459016393,,
