,label,p,r,f1,micro,macro
0,ship,0.9020408163265307,0.9525862068965517,0.9266247379454926,0.8320610687022901,0.8026747987647607
1,giá,0.8956521739130435,0.8583333333333333,0.8765957446808511,0.8504551365409623,0.81521039868929
2,chính hãng,0.6129032258064516,0.7916666666666666,0.6909090909090909,0.8411575562700965,0.8030639493552224
3,chất lượng,0.7777777777777778,0.8566433566433567,0.8153078202995009,,
4,dịch vụ,0.825,0.616822429906542,0.7058823529411763,,
5,an toàn,0.8035714285714286,0.7627118644067796,0.782608695652174,,
