,label,p,r,f1,micro,macro
0,ship,0.9177150042329286,0.9409482758620691,0.9288865309369176,0.8317873064653172,0.8047119047824205
1,giá,0.8826385645585688,0.9208333333333334,0.9009584166870532,0.8637841352405721,0.8164846467851625
2,chính hãng,0.6601434260184261,0.6874999999999999,0.666420995048079,0.847179036303789,0.8067588750873165
3,chất lượng,0.7790525998278535,0.8653846153846155,0.8191209207170452,,
4,dịch vụ,0.7840099292743268,0.6677570093457944,0.7184075120474871,,
5,an toàn,0.7804581418149062,0.7940677966101695,0.7855316422458157,,
