,label,p,r,f1,micro,macro
0,ship,0.9093632818966381,0.9379310344827587,0.9228584526712419,0.8261637000983495,0.8007308877812515
1,giá,0.8870761469649789,0.9012500000000001,0.8936153506689999,0.8576072821846555,0.8082792879587917
2,chính hãng,0.6571022246491135,0.6729166666666666,0.6558019713972703,0.8413835452320282,0.8003205412205304
3,chất lượng,0.7728529217278346,0.8601398601398602,0.8131990313581193,,
4,dịch vụ,0.7772598636676927,0.6691588785046727,0.716127900007021,,
5,an toàn,0.7892693075465569,0.8025423728813561,0.7934661585943574,,
