,label,p,r,f1,micro,macro
0,ship,0.9198518606559334,0.9359913793103448,0.927491743717251,0.8339158637415792,0.8078839438300915
1,giá,0.8947002039814766,0.9029166666666667,0.8982005797928766,0.8533159947984397,0.8096223657908318
2,chính hãng,0.6700176924220547,0.7020833333333336,0.6806614630720269,0.843000838989161,0.8053038883120994
3,chất lượng,0.7788730907387238,0.8524475524475525,0.8127929517548568,,
4,dịch vụ,0.7759768713522698,0.6546728971962616,0.7073727032234858,,
5,an toàn,0.7915777243526325,0.7788135593220339,0.7827379410776782,,
