,label,p,r,f1,micro,macro
0,ship,0.9194268823114635,0.9318965517241381,0.9253316090247574,0.8278615425265177,0.8050162854936062
1,giá,0.8872914754535473,0.9195833333333334,0.9027882812953925,0.8622886866059817,0.8169543108894542
2,chính hãng,0.679739276195343,0.6958333333333334,0.6827670296705198,0.8445145864234102,0.8080412902669194
3,chất lượng,0.7694734898892827,0.867832167832168,0.8149136845885293,,
4,dịch vụ,0.7691503036183942,0.669626168224299,0.7144058467553973,,
5,an toàn,0.7844595675043585,0.7881355932203391,0.7843380019546048,,
