,label,p,r,f1,micro,macro
0,ship,0.9228436238208777,0.9411637931034484,0.9315241651624373,0.8357422909584435,0.8037664212710609
1,giá,0.8949553890156334,0.9170833333333333,0.9055185378126647,0.8693107932379714,0.8403403060576764
2,chính hãng,0.6317451866904309,0.7958333333333333,0.700517200202618,0.851788741282465,0.8174296604357556
3,chất lượng,0.7855425171727163,0.8681818181818182,0.8236440725928473,,
4,dịch vụ,0.7837453896556471,0.6794392523364485,0.7259443264082115,,
5,an toàn,0.807004095393187,0.8118644067796609,0.8078992331380943,,
