,label,p,r,f1,micro,macro
0,ship,0.9157078388912309,0.935344827586207,0.925047906909383,0.8276778564057261,0.8138293824271324
1,giá,0.9006834153178558,0.9054166666666668,0.9026580886587705,0.8646293888166449,0.8192814189516573
2,chính hãng,0.7133468698962747,0.7083333333333334,0.7030725565423289,0.8453812329279202,0.8126064452215367
3,chất lượng,0.7642512461210769,0.8753496503496503,0.8152871283115353,,
4,dịch vụ,0.7751575419092234,0.6719626168224297,0.7169665456856659,,
5,an toàn,0.7959441766590551,0.8,0.7954985027094478,,
