,label,p,r,f1,micro,macro
0,ship,0.9209299875284434,0.9336206896551721,0.9268172043296179,0.8338536972299279,0.8103566595953644
1,giá,0.9008469125840982,0.9083333333333334,0.9041813873459315,0.8570221066319895,0.8158764264524818
2,chính hãng,0.6888545484306355,0.7125,0.6970222938960705,0.8449670443804116,0.810694486861953
3,chất lượng,0.7775488101991609,0.8557692307692306,0.8142411395598408,,
4,dịch vụ,0.7636030392344837,0.6691588785046728,0.7112104091783042,,
5,an toàn,0.7883293124063027,0.8067796610169491,0.7964297737352859,,
