,label,p,r,f1,micro,macro
0,ship,0.9184601423808418,0.9459051724137932,0.9317408805075373,0.83158492503899,0.8057404447813583
1,giá,0.8923727874900635,0.91375,0.9024587110540112,0.8685305591677503,0.832491237519597
2,chính hãng,0.6566978909651323,0.7583333333333334,0.7001142202860868,0.8494194397620412,0.815597146012171
3,chất lượng,0.7743630249047044,0.8678321678321679,0.8176111076715428,,
4,dịch vụ,0.7868083781660504,0.6766355140186915,0.7260608105416775,,
5,an toàn,0.7936516038845207,0.8288135593220339,0.8102141399237637,,
