,label,p,r,f1,micro,macro
0,ship,0.9205020920502092,0.9482758620689655,0.9341825902335457,0.8194945848375451,0.8101505120502912
1,giá,0.9032258064516129,0.9333333333333333,0.9180327868852459,0.8855656697009102,0.8320464104592368
2,chính hãng,0.6538461538461539,0.7083333333333334,0.68,0.85125,0.8162921166314285
3,chất lượng,0.7298050139275766,0.916083916083916,0.8124031007751937,,
4,dịch vụ,0.8433734939759037,0.6542056074766355,0.7368421052631579,,
5,an toàn,0.7704918032786885,0.7966101694915254,0.7833333333333333,,
