,label,p,r,f1,micro,macro
0,ship,0.9176954732510288,0.9612068965517241,0.9389473684210525,0.844559585492228,0.8050676165402839
1,giá,0.9067796610169492,0.8916666666666667,0.8991596638655461,0.8478543563068921,0.8132674560373563
2,chính hãng,0.6071428571428571,0.7083333333333334,0.6538461538461539,0.8462037637897468,0.807644368569834
3,chất lượng,0.7958477508650519,0.8041958041958042,0.8,,
4,dịch vụ,0.7978723404255319,0.7009345794392523,0.7462686567164178,,
5,an toàn,0.9302325581395349,0.6779661016949152,0.7843137254901962,,
