,label,p,r,f1,micro,macro
0,ship,0.9502262443438914,0.9051724137931034,0.9271523178807947,0.8274111675126904,0.8033717707930013
1,giá,0.9137931034482759,0.8833333333333333,0.8983050847457628,0.8478543563068921,0.8154784188847998
2,chính hãng,0.6666666666666666,0.75,0.7058823529411765,0.8375080282594735,0.807986490750832
3,chất lượng,0.7561728395061729,0.8566433566433567,0.8032786885245902,,
4,dịch vụ,0.73,0.6822429906542056,0.7053140096618358,,
5,an toàn,0.8225806451612904,0.864406779661017,0.8429752066115702,,
