,label,p,r,f1,micro,macro
0,ship,0.889795918367347,0.9396551724137931,0.9140461215932913,0.8163265306122449,0.7893550207984312
1,giá,0.8837209302325582,0.95,0.9156626506024096,0.8842652795838751,0.8505640867887081
2,chính hãng,0.6129032258064516,0.7916666666666666,0.6909090909090909,0.8489388264669163,0.8150600557655634
3,chất lượng,0.7603550295857988,0.8986013986013986,0.8237179487179488,,
4,dịch vụ,0.8,0.6728971962616822,0.7309644670050762,,
5,an toàn,0.7101449275362319,0.8305084745762712,0.7656250000000001,,
