,label,p,r,f1,micro,macro
0,ship,0.907991819115981,0.9476293103448274,0.9268841899305326,0.8277933294923983,0.7916091971851518
1,giá,0.8985583149512628,0.9116666666666667,0.904734360585074,0.870481144343303,0.8360323703581841
2,chính hãng,0.5981246044327396,0.76875,0.670038281756667,0.84824618649226,0.8092052000696828
3,chất lượng,0.7821224171099235,0.8694055944055947,0.8224130489078278,,
4,dịch vụ,0.7712488303158516,0.682710280373832,0.721956119168313,,
5,an toàn,0.7991987746058484,0.8177966101694917,0.8071459036671204,,
