,label,p,r,f1,micro,macro
0,ship,0.9170989890379287,0.9426724137931034,0.9293988108007151,0.8367200554112111,0.8171559981797248
1,giá,0.896604174771317,0.9087500000000002,0.9022268301266385,0.866775032509753,0.8281172769115084
2,chính hãng,0.6829578152760603,0.7479166666666668,0.7070428762366736,0.8511423798179903,0.8183800463295124
3,chất lượng,0.7783415632669363,0.8711538461538462,0.8205488831340798,,
4,dịch vụ,0.8107774485463819,0.6700934579439253,0.7326828313494568,,
5,an toàn,0.8021494924441402,0.7957627118644067,0.7965547541894052,,
