,label,p,r,f1,micro,macro
0,ship,0.9124416321410415,0.9525862068965516,0.931866834089986,0.837630030749035,0.8111796335805354
1,giá,0.9047434362918845,0.9137500000000003,0.9088341413743061,0.8677503250975296,0.8281529786949541
2,chính hãng,0.6602508909322106,0.7333333333333334,0.6892621734543544,0.8520057812677801,0.8154563037344571
3,chất lượng,0.7885791020836568,0.8611888111888112,0.8220847491515851,,
4,dịch vụ,0.7898831064538843,0.6799065420560747,0.7252336206020542,,
5,an toàn,0.8175150138790578,0.7983050847457627,0.8059989960889735,,
