,label,p,r,f1,micro,macro
0,ship,0.9122690221222106,0.9448275862068962,0.9277987616496185,0.8296244260774339,0.8050961724038173
1,giá,0.9044389962649146,0.9137500000000001,0.9086324227831246,0.872821846553966,0.8391571877204329
2,chính hãng,0.6618859600534779,0.7749999999999999,0.7108901506265964,0.850050446446953,0.8185749817925949
3,chất lượng,0.7746811760268464,0.8748251748251749,0.8202727309483219,,
4,dịch vụ,0.7722057075516358,0.6873831775700935,0.7252808429553125,,
5,an toàn,0.7907315281756678,0.7966101694915255,0.7909005739456456,,
