,label,p,r,f1,micro,macro
0,ship,0.910652948530631,0.9487068965517242,0.9289140873963249,0.840364005863845,0.8120055095061856
1,giá,0.8977674617270891,0.9183333333333336,0.907696139923322,0.8725617685305593,0.8377416407311671
2,chính hãng,0.6298305480184039,0.7416666666666667,0.6768742245088711,0.8556610629953723,0.8210633485789227
3,chất lượng,0.7878068945655828,0.8594405594405593,0.8204555903424382,,
4,dịch vụ,0.8339696946892229,0.7205607476635513,0.7713767007236569,,
5,an toàn,0.7866584921147359,0.8406779661016948,0.8119436753939558,,
