,label,p,r,f1,micro,macro
0,ship,0.9210903155261327,0.9336206896551722,0.9269331711468473,0.8307135287380382,0.8020083174362321
1,giá,0.897561170972943,0.904166666666667,0.9002655887178369,0.8558517555266579,0.824152192742267
2,chính hãng,0.6414242855631611,0.7541666666666668,0.6885469091617222,0.8427709846596013,0.8095105993131293
3,chất lượng,0.774295571904695,0.8456293706293707,0.8074344209237427,,
4,dịch vụ,0.775670243214228,0.6831775700934581,0.7243729066154967,,
5,an toàn,0.7760582393888333,0.8254237288135593,0.7989617580847976,,
