,label,p,r,f1,micro,macro
0,ship,0.9239730061377462,0.9375,0.9304902943695934,0.8363739771276378,0.8103192731123052
1,giá,0.9006152218793616,0.9108333333333334,0.9052329133480346,0.8591677503250974,0.8223001274426507
2,chính hãng,0.6730271853964848,0.7229166666666667,0.689006713355028,0.8473033658266926,0.8129226478103689
3,chất lượng,0.7835774410565576,0.8477272727272724,0.8130239209541724,,
4,dịch vụ,0.7704035110913747,0.6925233644859813,0.7268593970250157,,
5,an toàn,0.7883060645300729,0.8203389830508474,0.8022731666686085,,
