,label,p,r,f1,micro,macro
0,ship,0.9170198090576335,0.9463362068965516,0.9311544141543925,0.8425430551254006,0.8174826225110141
1,giá,0.9036461131513012,0.9150000000000003,0.9087445658115199,0.8676853055916773,0.8345070459672458
2,chính hãng,0.6503277399376104,0.75625,0.6940533988824937,0.8545500293593857,0.8218078051640333
3,chất lượng,0.786620393139285,0.8568181818181817,0.818806743670733,,
4,dịch vụ,0.8297990572692416,0.6981308411214953,0.7562799033010277,,
5,an toàn,0.7947803455861316,0.8186440677966103,0.8044798535705165,,
