,label,p,r,f1,micro,macro
0,ship,0.876984126984127,0.9324894514767933,0.9038854805725973,0.8451053283767038,0.8304834753962661
1,giá,0.8992248062015504,0.8992248062015504,0.8992248062015503,0.8071005917159764,0.7137603368376846
2,chính hãng,0.8333333333333334,0.30303030303030304,0.4444444444444444,0.8256658595641646,0.7429452683988081
3,chất lượng,0.8263888888888888,0.8263888888888888,0.8263888888888888,,
4,dịch vụ,0.85,0.5,0.6296296296296295,,
5,an toàn,0.696969696969697,0.8214285714285714,0.7540983606557378,,
6,others,0.27927927927927926,0.62,0.38509316770186336,,
