,label,p,r,f1,micro,macro
0,ship,0.8914027149321267,0.9924433249370277,0.9392133492252682,0.846233230134159,0.8312732029098728
1,giá,0.9285714285714286,0.883495145631068,0.9054726368159205,0.8341810783316378,0.7613680972455538
2,chính hãng,0.7746478873239436,0.6875,0.728476821192053,0.8401639344262296,0.7899325664342814
3,chất lượng,0.751131221719457,0.7443946188340808,0.7477477477477479,,
4,dịch vụ,0.7543859649122807,0.48863636363636365,0.5931034482758621,,
5,an toàn,0.8875,0.7717391304347826,0.8255813953488372,,
6,others,0.3125,0.37735849056603776,0.3418803418803419,,
