,label,p,r,f1,micro,macro
0,ship,0.9502262443438914,0.9051724137931034,0.9271523178807947,0.8588235294117647,0.8684374077851308
1,giá,0.9363636363636364,0.8583333333333333,0.8956521739130435,0.8543563068920677,0.8195823990168172
2,chính hãng,0.8571428571428571,0.75,0.7999999999999999,0.8565840938722296,0.8415774000089327
3,chất lượng,0.78125,0.8741258741258742,0.8250825082508251,,
4,dịch vụ,0.8172043010752689,0.7102803738317757,0.76,,
5,an toàn,0.8888888888888888,0.6779661016949152,0.7692307692307693,,
