,label,p,r,f1,micro,macro
0,ship,0.904,0.9741379310344828,0.9377593360995852,0.8180722891566266,0.7941962414397198
1,giá,0.8769230769230769,0.95,0.912,0.88296488946684,0.8382385833094824
2,chính hãng,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.8492808005003127,0.8150607888129991
3,chất lượng,0.7701863354037267,0.8671328671328671,0.8157894736842104,,
4,dịch vụ,0.7115384615384616,0.6915887850467289,0.7014218009478673,,
5,an toàn,0.7894736842105263,0.7627118644067796,0.7758620689655172,,
