,label,p,r,f1,micro,macro
0,ship,0.944954128440367,0.8879310344827587,0.9155555555555556,0.832901554404145,0.8184699454116725
1,giá,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.8361508452535761,0.7897034977054314
2,chính hãng,0.7142857142857143,0.625,0.6666666666666666,0.8345230369889682,0.8024645491753057
3,chất lượng,0.7539432176656151,0.8356643356643356,0.7927031509121061,,
4,dịch vụ,0.7708333333333334,0.6915887850467289,0.7290640394088671,,
5,an toàn,0.6447368421052632,0.8305084745762712,0.7259259259259259,,
