,label,p,r,f1,micro,macro
0,ship,0.9246861924686193,0.9525862068965517,0.9384288747346072,0.854381443298969,0.804132795504407
1,giá,0.907563025210084,0.9,0.9037656903765691,0.8621586475942783,0.8356998002534581
2,chính hãng,0.5277777777777778,0.7916666666666666,0.6333333333333333,0.8582524271844659,0.813107348035498
3,chất lượng,0.8197278911564626,0.8426573426573427,0.8310344827586208,,
4,dịch vụ,0.8409090909090909,0.6915887850467289,0.758974358974359,,
5,an toàn,0.796875,0.864406779661017,0.8292682926829269,,
