,label,p,r,f1,micro,macro
0,ship,0.8934426229508197,0.9396551724137931,0.9159663865546218,0.8187422934648582,0.8009723652737408
1,giá,0.896551724137931,0.8666666666666667,0.8813559322033899,0.8634590377113134,0.8319814233462317
2,chính hãng,0.7391304347826086,0.7083333333333334,0.723404255319149,0.8405063291139241,0.8150438427497353
3,chất lượng,0.7906976744186046,0.8321678321678322,0.8109028960817717,,
4,dịch vụ,0.6850393700787402,0.8130841121495327,0.7435897435897436,,
5,an toàn,0.75,0.711864406779661,0.7304347826086958,,
