,label,p,r,f1,micro,macro
0,ship,0.876984126984127,0.9525862068965517,0.9132231404958677,0.8193069306930693,0.7988965908532472
1,giá,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.8608582574772432,0.8125107929990302
2,chính hãng,0.68,0.7083333333333334,0.6938775510204083,0.8395688015218771,0.8034126859854581
3,chất lượng,0.7678018575851393,0.8671328671328671,0.8144499178981937,,
4,dịch vụ,0.7613636363636364,0.6261682242990654,0.6871794871794872,,
5,an toàn,0.7540983606557377,0.7796610169491526,0.7666666666666666,,
