,label,p,r,f1,micro,macro
0,ship,0.902834008097166,0.9612068965517241,0.9311064718162838,0.7867730900798175,0.7570172137426229
1,giá,0.8473282442748091,0.925,0.8844621513944223,0.8972691807542262,0.8313369721909843
2,chính hãng,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.8383961117861481,0.7907067496100637
3,chất lượng,0.7371428571428571,0.9020979020979021,0.8113207547169811,,
4,dịch vụ,0.6614173228346457,0.7850467289719626,0.717948717948718,,
5,an toàn,0.7936507936507936,0.847457627118644,0.819672131147541,,
