,label,p,r,f1,micro,macro
0,ship,0.9156118143459916,0.9353448275862069,0.9253731343283582,0.8265822784810126,0.7974122412751397
1,giá,0.8983050847457628,0.8833333333333333,0.8907563025210085,0.8491547464239272,0.7979245740831303
2,chính hãng,0.6818181818181818,0.625,0.6521739130434783,0.8377164849262349,0.7972032312314107
3,chất lượng,0.7810457516339869,0.8356643356643356,0.8074324324324323,,
4,dịch vụ,0.7102803738317757,0.7102803738317757,0.7102803738317757,,
5,an toàn,0.8979591836734694,0.7457627118644068,0.8148148148148148,,
