,label,p,r,f1,micro,macro
0,ship,0.8938775510204081,0.9439655172413793,0.9182389937106918,0.8184019370460048,0.7790030070548705
1,giá,0.8914728682170543,0.9583333333333334,0.9236947791164659,0.8790637191157347,0.8400931274118513
2,chính hãng,0.5806451612903226,0.75,0.6545454545454547,0.8476489028213167,0.805679100488198
3,chất lượng,0.7737003058103975,0.8846153846153846,0.8254486133768353,,
4,dịch vụ,0.7553191489361702,0.6635514018691588,0.7064676616915424,,
5,an toàn,0.7966101694915254,0.7966101694915254,0.7966101694915254,,
