,label,p,r,f1,micro,macro
0,ship,0.9008264462809917,0.9396551724137931,0.9198312236286921,0.827020202020202,0.80643156723506
1,giá,0.9099099099099099,0.8416666666666667,0.8744588744588745,0.8517555266579974,0.7923093975527105
2,chính hãng,0.7142857142857143,0.625,0.6666666666666666,0.8392056374119153,0.7979377485381235
3,chất lượng,0.7816455696202531,0.8636363636363636,0.8205980066445183,,
4,dịch vụ,0.7254901960784313,0.6915887850467289,0.7081339712918661,,
5,an toàn,0.8214285714285714,0.7796610169491526,0.8,,
