,label,p,r,f1,micro,macro
0,ship,0.9092376405387845,0.9530172413793101,0.9304106636316737,0.8275395621593511,0.8024547264738773
1,giá,0.8959928491497117,0.9200000000000002,0.9072599476251944,0.8741872561768531,0.8345205560901661
2,chính hãng,0.664251549301901,0.7333333333333332,0.6908504905204367,0.8499665550472517,0.8151172142521814
3,chất lượng,0.7740998574901878,0.8690559440559442,0.818188380973003,,
4,dịch vụ,0.768691735888802,0.6971962616822431,0.7288765885105992,,
5,an toàn,0.7874807644663218,0.8203389830508476,0.8012178444375475,,
