,label,p,r,f1,micro,macro
0,ship,0.9171097945773488,0.9424568965517242,0.9293887124888756,0.8306171286739102,0.8035477282695836
1,giá,0.8952284915075472,0.9183333333333333,0.9061335677486003,0.8663849154746426,0.8260939543054432
2,chính hãng,0.6583519023434803,0.7166666666666667,0.6793640869440897,0.8478353170632499,0.8115035666392103
3,chất lượng,0.7766367834951855,0.8604895104895105,0.8154160894210898,,
4,dịch vụ,0.7704116694243565,0.6925233644859813,0.7272153765933962,,
5,an toàn,0.800788580340576,0.7974576271186441,0.7976211618413843,,
