,label,p,r,f1,micro,macro
0,ship,0.911915446895477,0.9467672413793105,0.9287755106703944,0.8277173071198582,0.802936735384257
1,giá,0.8951105025884099,0.9141666666666668,0.9039083878507602,0.8702210663198959,0.8345033785636427
2,chính hãng,0.6628535647981236,0.7562499999999999,0.702191133921122,0.8480648046110012,0.8155157897040303
3,chất lượng,0.772435895556157,0.8674825174825175,0.8157217763657787,,
4,dịch vụ,0.7723682670831178,0.6878504672897195,0.7269821397120961,,
5,an toàn,0.792074492192424,0.8084745762711865,0.7964238714303916,,
